,,Male,,,,,,Female,,,,
Total,,All male,White/a,Black/a,Hispanic,"Other/a,b",,All female,White/a,Black/a,Hispanic,"Other/a,b"
419,,789,385,"2,203",979,"1,176",,61,48,83,63,109
107,,201,58,720,188,222,,10,6,20,12,11
520,,949,347,"2,772","1,105","1,133",,71,49,116,78,118
907,,"1,633",707,"4,158","1,957","2,091",,149,120,186,150,239
988,,"1,776",891,"4,496","2,156","2,404",,178,156,199,178,276
"1,000",,"1,829",958,"4,832","2,181","2,687",,169,148,187,164,270
854,,"1,590",821,"4,334","1,877","2,348",,126,110,151,114,201
690,,"1,299",696,"3,553","1,500","2,023",,95,83,128,82,144
551,,"1,046",561,"2,970","1,210","1,697",,70,54,110,64,123
398,,774,418,"2,227",972,"1,318",,42,32,68,42,83
242,,483,254,"1,404",705,895,,20,14,32,20,48
81,,175,101,485,317,362,,5,4,9,6,15
"1,380,427",,"1,279,079","374,900","435,000","301,700","167,400",,"101,348","47,900","17,800","19,000","16,600"